entity_id,n_records,record_ids,mean_link_confidence,issues,flagged
102,2,"['nypl_1851_1852_doggetts_001267', 'nypl_1851_1852_doggetts_001274']",0.53,[],False
103,2,"['nypl_1851_1852_doggetts_007960', 'nypl_1851_1852_doggetts_007961']",0.58,[],False
104,2,"['nypl_1851_1852_doggetts_003589', 'nypl_1851_1852_doggetts_003598']",0.58,[],False
105,2,"['nypl_1851_1852_doggetts_002523', 'nypl_1851_1852_doggetts_006265']",0.52,[],False
106,2,"['nypl_1851_1852_doggetts_001697', 'nypl_1851_1852_doggetts_005001']",0.54,[],False
107,2,"['nypl_1851_1852_doggetts_000299', 'nypl_1851_1852_doggetts_000318']",0.545,[],False
108,2,"['nypl_1851_1852_doggetts_006209', 'nypl_1851_1852_doggetts_006604']",0.55,[],False
109,2,"['nypl_1851_1852_doggetts_005255', 'nypl_1851_1852_doggetts_005256']",0.545,[],False
110,2,"['nypl_1851_1852_doggetts_001818', 'nypl_1851_1852_doggetts_001822']",0.53,[],False
111,2,"['nypl_1851_1852_doggetts_000747', 'nypl_1851_1852_doggetts_004923']",0.57,[],False
112,2,"['nypl_1851_1852_doggetts_001020', 'nypl_1851_1852_doggetts_001355']",0.57,[],False
113,2,"['nypl_1851_1852_doggetts_003394', 'nypl_1851_1852_doggetts_003416']",0.54,[],False
114,2,"['nypl_1851_1852_doggetts_005120', 'nypl_1851_1852_doggetts_005122']",0.755,[],False
115,2,"['nypl_1851_1852_doggetts_000538', 'nypl_1851_1852_doggetts_004005']",0.545,[],False
116,2,"['nypl_1851_1852_doggetts_001191', 'nypl_1851_1852_doggetts_006071']",0.55,[],False
117,2,"['nypl_1851_1852_doggetts_001473', 'nypl_1851_1852_doggetts_006587']",0.58,[],False
118,2,"['nypl_1851_1852_doggetts_002392', 'nypl_1851_1852_doggetts_002394']",0.96,[],False
119,2,"['nypl_1851_1852_doggetts_001051', 'nypl_1851_1852_doggetts_001507']",0.545,[],False
120,2,"['nypl_1851_1852_doggetts_002417', 'nypl_1851_1852_doggetts_002418']",0.74,[],False
121,2,"['nypl_1851_1852_doggetts_001018', 'nypl_1851_1852_doggetts_006931']",0.555,[],False
122,2,"['nypl_1851_1852_doggetts_000400', 'nypl_1851_1852_doggetts_004213']",0.545,[],False
123,2,"['nypl_1851_1852_doggetts_003012', 'nypl_1851_1852_doggetts_003021']",0.79,[],False
124,2,"['nypl_1851_1852_doggetts_001306', 'nypl_1851_1852_doggetts_001319']",0.56,[],False
125,2,"['nypl_1851_1852_doggetts_007865', 'nypl_1851_1852_doggetts_007866']",1.0,[],False
126,2,"['nypl_1851_1852_doggetts_000677', 'nypl_1851_1852_doggetts_000690']",0.54,['conflicting_occupation'],True
127,2,"['nypl_1851_1852_doggetts_007205', 'nypl_1851_1852_doggetts_007206']",0.57,[],False
128,2,"['nypl_1851_1852_doggetts_001365', 'nypl_1851_1852_doggetts_006557']",0.555,[],False
129,2,"['nypl_1851_1852_doggetts_005006', 'nypl_1851_1852_doggetts_005014']",0.58,[],False
130,2,"['nypl_1851_1852_doggetts_000402', 'nypl_1851_1852_doggetts_000406']",0.555,[],False
131,2,"['nypl_1851_1852_doggetts_001060', 'nypl_1851_1852_doggetts_006564']",0.52,['conflicting_occupation'],True
132,2,"['nypl_1851_1852_doggetts_005027', 'nypl_1851_1852_doggetts_005037']",0.555,[],False
133,2,"['nypl_1851_1852_doggetts_002942', 'nypl_1851_1852_doggetts_003183']",0.66,[],False
134,2,"['nypl_1851_1852_doggetts_005042', 'nypl_1851_1852_doggetts_005987']",0.54,[],False
135,2,"['nypl_1851_1852_doggetts_001011', 'nypl_1851_1852_doggetts_006949']",0.555,[],False
136,2,"['nypl_1851_1852_doggetts_002888', 'nypl_1851_1852_doggetts_002940']",0.545,[],False
137,2,"['nypl_1851_1852_doggetts_003150', 'nypl_1851_1852_doggetts_003175']",0.55,['conflicting_occupation'],True
138,2,"['nypl_1851_1852_doggetts_002713', 'nypl_1851_1852_doggetts_004166']",0.83,[],False
139,2,"['nypl_1851_1852_doggetts_004785', 'nypl_1851_1852_doggetts_004788']",0.935,[],False
140,2,"['nypl_1851_1852_doggetts_001448', 'nypl_1851_1852_doggetts_006166']",0.545,[],False
141,2,"['nypl_1851_1852_doggetts_002757', 'nypl_1851_1852_doggetts_002775']",0.67,[],False
142,2,"['nypl_1851_1852_doggetts_000535', 'nypl_1851_1852_doggetts_000537']",0.54,[],False
143,2,"['nypl_1851_1852_doggetts_002479', 'nypl_1851_1852_doggetts_003463']",0.54,['conflicting_occupation'],True
